Country name,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year,Regional indicator_Central and Eastern Europe,Regional indicator_Commonwealth of Independent States,Regional indicator_East Asia,Regional indicator_Latin America and Caribbean,Regional indicator_Middle East and North Africa,Regional indicator_North America and ANZ,Regional indicator_South Asia,Regional indicator_Southeast Asia,Regional indicator_Sub-Saharan Africa,Regional indicator_Unkown,Regional indicator_Western Europe
Cyprus,6.238,1.0301374639146894,0.5491600472115189,1.0460949629912213,0.634945390221722,0.11801895925476633,-0.15788293183673136,1,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.833,1.023198050306636,-0.012580681962887004,1.142768288892798,0.1992920985199692,0.3423380665001574,0.31807861971348067,4,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.387,1.0171260633995902,0.072531549730204,1.1749927308599912,0.056454953699722095,0.4607287064352249,0.48921086296748895,5,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.69,0.9989101026784515,0.25977845945500627,1.19379032200752,-0.014963618710401451,1.127454941859026,0.5319939237809912,6,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.181,0.9546713409271159,-0.39558572458180075,1.212587913155049,-0.15780076353064854,0.6165058642445242,0.6924304018316244,7,0,0,0,0,0,0,0,0,0,0,1
Cyprus,5.439,0.8982886053616889,-0.5913438574759122,1.2313855043025759,-0.6505889131605003,0.6414302094940121,0.6710388714248733,8,0,0,0,0,0,0,0,0,0,0,1
Cyprus,5.627,0.891349191753637,-0.3700520550738732,1.2501830954501048,-0.2292193359407721,0.3797245843743892,0.6763867540265611,9,0,0,0,0,0,0,0,0,0,0,1
Cyprus,5.439,0.9251788330928933,-0.3700520550738732,1.2689806865976336,-0.8505609159088462,0.7162032452424759,0.8100838190687555,10,0,0,0,0,0,0,0,0,0,0,1
Cyprus,5.795,0.9780918618542944,-0.23387248436492605,1.295834388236961,0.06359681094073445,-0.18107318373908843,0.8368232320771943,11,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.062,1.006716942987511,0.04699788022227641,1.322688089876288,0.46354081643742634,0.27379611706406565,0.5854727497978689,12,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.276,1.0310048906156954,0.10657644240744077,1.3495417915156154,0.3349873860992039,-0.13122449324011262,0.5694291019928056,13,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.137,1.0466185712338145,-0.318984716058018,1.3763954931549427,-0.050672904915463224,-0.04398928486690499,0.6603431062214977,14,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.26,0.9877002806962144,-0.06364802097874217,1.4032491947942678,0.11358981162782093,0.3255620648899252,0.3982968587387967,15,0,0,0,0,0,0,0,0,0,0,1
Cyprus,6.223,1.038811730924755,-0.09769291365597894,1.376126956138548,0.11358981162782093,-0.0876068890535088,0.5480375715860545,16,0,0,0,0,0,0,0,0,0,0,1
Czech Republic,6.439,0.820220202271097,0.8981201971531958,0.44994278659816583,0.8420592502110803,-0.9474968001608413,0.8528668798822577,0,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.5,0.9182394194848399,0.7364069569363212,0.5090209302046846,0.37069667230426573,-0.38669903204736356,0.9972597101278277,2,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.25,0.9026257388667224,1.0257885446928336,0.5976381456144627,0.2278595274840186,-0.25584621948755215,0.9865639449244521,5,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.331,0.9165045660828276,0.8555640813066498,0.6164357367619916,0.28499438541211747,-0.6546357434793585,1.1149131273649582,6,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.334,0.9086977257737682,0.8385416349680315,0.6352333279095205,-0.050672904915463224,-0.9537278864732133,1.1523483055767725,7,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.698,0.9034931655677285,0.6342722789046108,0.6540309190570492,-0.15065890628963619,-0.9661900590979572,0.9330851189075744,8,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.484,0.9260462597938993,0.5491600472115189,0.6728285102045781,0.3778385295452781,-1.040963094846421,0.8314753494755066,9,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.608,0.9694175948442287,0.8300304117987223,0.691626101352107,0.4349733874733769,-0.9038791959742374,0.7726486408569411,10,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.736,0.9885009822663737,1.000254875184906,0.7587603554504241,0.734931391595895,-1.221664597905208,0.8475189972805699,11,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.79,1.023198050306636,0.7449181801056304,0.8258946095487413,0.6063779612576726,-1.0970428716577685,0.6710388714248733,12,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,7.034,1.0448837178318007,0.9832324288462878,0.8930288636470584,0.3064199571351545,-1.8136177975805456,0.5854727497978689,13,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.897,0.9989101026784515,1.2811252397721087,1.0272973718436926,1.134875397092587,-0.7854885560391699,0.7619528756535655,15,1,0,0,0,0,0,0,0,0,0,0
Czech Republic,6.965,1.0214631969046224,1.1364344458938522,0.9611029973027525,0.7920662495239938,-1.2902065473412998,0.6763867540265611,16,1,0,0,0,0,0,0,0,0,0,0
